layer,mean_rewrite_score,top10_mean_rewrite_score,num_units
0,0.21963278357900165,1.0,75
1,7.261874605638437e-05,0.0012738426923751833,75
2,0.028159449239804176,0.9800377604166668,75
3,0.00011732903872651783,0.004629420399665833,75
4,9.810003566058199e-05,0.0022961437702178956,75
5,6.857783404378073e-05,0.000892035722732544,75
6,0.00015471270517199525,0.0037754662036895746,75
7,0.00043563342376303984,0.021070431550343827,75
8,0.00014002851525800504,0.0023004465103149416,75
9,0.00010030391970190302,0.0012700505256652832,75
10,0.00014196051305488826,0.003937248150507609,75
11,0.0001077881666907439,0.001684333562850952,75
12,0.00021219125784970125,0.006315556009610495,75
13,0.00010244174963556162,0.0013963272968928017,75
14,0.00017087034355658606,0.006086624185244242,75
15,0.00012285873218451386,0.0025766959190368656,75
16,8.891643481789476e-05,0.0015129076639811198,75
17,0.00027198003851599016,0.013618609388669333,75
18,0.000778604907694736,0.03692003758748373,75
19,0.0008009567802160818,0.04265662070115407,75
20,0.00043809188049285565,0.02714203914006551,75
21,0.0003976962895577131,0.020831437865893046,75
22,4.949161235287082e-05,0.00024245278040568036,75
23,5.8690397256220875e-05,0.00118132225672404,75
24,6.827572109039942e-05,0.002059834321339925,75
25,3.8584907637922166e-05,0.00017079496383666995,75
26,6.066665468218286e-05,0.0018687210083007818,75
27,1.5181864167293089e-05,0.001037562052408854,75
